family,asset,param,horizon,qualified,reasons,n,net,stress,delay,top5,sample
H160,WDO,z1.0_inverse,60,False,EDGE|STRESS|SIDES|CALENDAR,217,0.13159082882769757,-0.8684091711723022,0.8168639138556445,0.15347391998881812,DISCOVERY
H160,WDO,z1.0_inverse,120,False,CALENDAR,217,2.6763249328425065,1.6763249328425065,2.6066973967020086,0.12841223708671856,DISCOVERY
H160,WDO,z1.0_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,217,-3.1315908288276972,-4.131590828827697,-3.8168639138556446,0.16057065695108258,DISCOVERY
H160,WDO,z1.0_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,217,-5.676324932842507,-6.676324932842507,-5.606697396702008,0.18018857049596848,DISCOVERY
H160,WDO,z1.5_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,133,-2.1237813696805996,-3.1237813696805996,-1.6014178559147947,0.22885999815014108,DISCOVERY
H160,WDO,z1.5_inverse,120,False,STRESS|CALENDAR,133,0.49899383830004107,-0.5010061616999596,0.3722237375828773,0.1718039621006183,DISCOVERY
H160,WDO,z1.5_stress,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,133,-0.8762186303194001,-1.8762186303194002,-1.3985821440852058,0.24045273951055526,DISCOVERY
H160,WDO,z1.5_stress,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,133,-3.498993838300041,-4.4989938383000405,-3.3722237375828765,0.2608165949586574,DISCOVERY
H160,WIN,z1.0_inverse,60,False,DELAY|CALENDAR,217,1.2542914328787615,0.25429143287876144,-2.414973808838927,0.11000903899996683,DISCOVERY
H160,WIN,z1.0_inverse,120,False,CALENDAR,217,3.6303714877072837,2.630371487707283,1.0087561913700662,0.12616987424007858,DISCOVERY
H160,WIN,z1.0_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,217,-5.254291432878762,-6.2542914328787615,-1.5850261911610728,0.14163782369849406,DISCOVERY
H160,WIN,z1.0_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,217,-7.630371487707284,-8.630371487707285,-5.008756191370067,0.15828650326360774,DISCOVERY
H160,WIN,z1.5_inverse,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,133,-1.4059399197155673,-2.4059399197155673,-3.965194205323123,0.19221713674065702,DISCOVERY
H160,WIN,z1.5_inverse,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,133,-0.10701070286908827,-1.1070107028690888,-2.1636730626765277,0.21267520930204944,DISCOVERY
H160,WIN,z1.5_riskoff,60,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,133,-2.5940600802844336,-3.5940600802844336,-0.03480579467687777,0.20791602896607492,DISCOVERY
H160,WIN,z1.5_riskoff,120,False,EDGE|STRESS|DELAY|SIDES|CALENDAR,133,-3.8929892971309132,-4.892989297130914,-1.8363269373234719,0.22884017070343254,DISCOVERY
H160,WDO,z1.0_inverse,60,False,SIDES|CALENDAR,201,3.0468874016981915,2.0468874016981915,2.1148576156938663,0.13005393926673717,REPLICATION
