entry_friday,exit_friday,asset,futures_symbol,portfolio_exposure
2026-05-15,2026-05-22,DASH,DASHUSDT,1.0
2026-05-15,2026-05-22,ZEC,ZECUSDT,1.0
2026-05-15,2026-05-22,LDO,LDOUSDT,1.0
2026-05-15,2026-05-22,PEPE,1000PEPEUSDT,1.0
2026-05-15,2026-05-22,ICP,ICPUSDT,1.0
2026-05-15,2026-05-22,UNI,UNIUSDT,1.0
2026-05-15,2026-05-22,DOT,DOTUSDT,1.0
2026-05-15,2026-05-22,XMR,XMRUSDT,1.0
2026-05-15,2026-05-22,ALGO,ALGOUSDT,1.0
2026-05-15,2026-05-22,XLM,XLMUSDT,1.0
2026-05-22,2026-05-29,ZEC,ZECUSDT,1.0
2026-05-22,2026-05-29,SUI,SUIUSDT,1.0
2026-05-22,2026-05-29,DASH,DASHUSDT,1.0
2026-05-22,2026-05-29,LDO,LDOUSDT,1.0
2026-05-22,2026-05-29,CRV,CRVUSDT,1.0
2026-05-22,2026-05-29,ICP,ICPUSDT,1.0
2026-05-22,2026-05-29,UNI,UNIUSDT,1.0
2026-05-22,2026-05-29,PEPE,1000PEPEUSDT,1.0
2026-05-22,2026-05-29,ADA,ADAUSDT,1.0
2026-05-22,2026-05-29,LINK,LINKUSDT,1.0
2026-05-29,2026-06-05,ZEC,ZECUSDT,0.8458732968563113
2026-05-29,2026-06-05,DASH,DASHUSDT,0.8458732968563113
2026-05-29,2026-06-05,SUI,SUIUSDT,0.8458732968563113
2026-05-29,2026-06-05,XLM,XLMUSDT,0.8458732968563113
2026-05-29,2026-06-05,ICP,ICPUSDT,0.8458732968563113
2026-05-29,2026-06-05,LDO,LDOUSDT,0.8458732968563113
2026-05-29,2026-06-05,UNI,UNIUSDT,0.8458732968563113
2026-05-29,2026-06-05,CRV,CRVUSDT,0.8458732968563113
2026-05-29,2026-06-05,HYPE,HYPEUSDT,0.8458732968563113
2026-05-29,2026-06-05,BCH,BCHUSDT,0.8458732968563113
2026-06-05,2026-06-12,XLM,XLMUSDT,0.8428043716136993
2026-06-05,2026-06-12,DASH,DASHUSDT,0.8428043716136993
2026-06-05,2026-06-12,ICP,ICPUSDT,0.8428043716136993
2026-06-05,2026-06-12,ZEC,ZECUSDT,0.8428043716136993
2026-06-05,2026-06-12,SUI,SUIUSDT,0.8428043716136993
2026-06-05,2026-06-12,XMR,XMRUSDT,0.8428043716136993
2026-06-05,2026-06-12,LDO,LDOUSDT,0.8428043716136993
2026-06-05,2026-06-12,ONDO,ONDOUSDT,0.8428043716136993
2026-06-05,2026-06-12,HYPE,HYPEUSDT,0.8428043716136993
2026-06-05,2026-06-12,UNI,UNIUSDT,0.8428043716136993
2026-06-12,2026-06-19,ZEC,ZECUSDT,0.8386510852271889
2026-06-12,2026-06-19,WLD,WLDUSDT,0.8386510852271889
2026-06-12,2026-06-19,HYPE,HYPEUSDT,0.8386510852271889
2026-06-12,2026-06-19,XLM,XLMUSDT,0.8386510852271889
2026-06-12,2026-06-19,DASH,DASHUSDT,0.8386510852271889
2026-06-12,2026-06-19,ICP,ICPUSDT,0.8386510852271889
2026-06-12,2026-06-19,ONDO,ONDOUSDT,0.8386510852271889
2026-06-12,2026-06-19,XMR,XMRUSDT,0.8386510852271889
2026-06-12,2026-06-19,SUI,SUIUSDT,0.8386510852271889
2026-06-12,2026-06-19,UNI,UNIUSDT,0.8386510852271889
2026-06-19,2026-06-26,ZEC,ZECUSDT,0.8060258859046049
2026-06-19,2026-06-26,WLD,WLDUSDT,0.8060258859046049
2026-06-19,2026-06-26,BEAT,BEATUSDT,0.8060258859046049
2026-06-19,2026-06-26,HYPE,HYPEUSDT,0.8060258859046049
2026-06-19,2026-06-26,DASH,DASHUSDT,0.8060258859046049
2026-06-19,2026-06-26,XLM,XLMUSDT,0.8060258859046049
2026-06-19,2026-06-26,ICP,ICPUSDT,0.8060258859046049
2026-06-19,2026-06-26,UNI,UNIUSDT,0.8060258859046049
2026-06-19,2026-06-26,ONDO,ONDOUSDT,0.8060258859046049
2026-06-19,2026-06-26,XMR,XMRUSDT,0.8060258859046049
2026-06-26,2026-07-03,BEAT,BEATUSDT,0.801733612150131
2026-06-26,2026-07-03,HYPE,HYPEUSDT,0.801733612150131
2026-06-26,2026-07-03,WLD,WLDUSDT,0.801733612150131
2026-06-26,2026-07-03,XLM,XLMUSDT,0.801733612150131
2026-06-26,2026-07-03,ICP,ICPUSDT,0.801733612150131
2026-06-26,2026-07-03,UNI,UNIUSDT,0.801733612150131
2026-06-26,2026-07-03,ZEC,ZECUSDT,0.801733612150131
2026-06-26,2026-07-03,XMR,XMRUSDT,0.801733612150131
2026-06-26,2026-07-03,DASH,DASHUSDT,0.801733612150131
2026-06-26,2026-07-03,SUI,SUIUSDT,0.801733612150131
2026-07-03,2026-07-10,BEAT,BEATUSDT,0.8236262400478822
2026-07-03,2026-07-10,ZEC,ZECUSDT,0.8236262400478822
2026-07-03,2026-07-10,WLD,WLDUSDT,0.8236262400478822
2026-07-03,2026-07-10,XLM,XLMUSDT,0.8236262400478822
2026-07-03,2026-07-10,HYPE,HYPEUSDT,0.8236262400478822
2026-07-03,2026-07-10,DASH,DASHUSDT,0.8236262400478822
2026-07-03,2026-07-10,BCH,BCHUSDT,0.8236262400478822
2026-07-03,2026-07-10,ICP,ICPUSDT,0.8236262400478822
2026-07-03,2026-07-10,SUI,SUIUSDT,0.8236262400478822
2026-07-03,2026-07-10,CRV,CRVUSDT,0.8236262400478822
2026-07-10,2026-07-17,BEAT,BEATUSDT,0.8275612926318574
2026-07-10,2026-07-17,WLD,WLDUSDT,0.8275612926318574
2026-07-10,2026-07-17,ZEC,ZECUSDT,0.8275612926318574
2026-07-10,2026-07-17,HYPE,HYPEUSDT,0.8275612926318574
2026-07-10,2026-07-17,CRV,CRVUSDT,0.8275612926318574
2026-07-10,2026-07-17,XLM,XLMUSDT,0.8275612926318574
2026-07-10,2026-07-17,DASH,DASHUSDT,0.8275612926318574
2026-07-10,2026-07-17,XMR,XMRUSDT,0.8275612926318574
2026-07-10,2026-07-17,ADA,ADAUSDT,0.8275612926318574
2026-07-10,2026-07-17,BCH,BCHUSDT,0.8275612926318574
2026-07-17,2026-07-24,ZEC,ZECUSDT,0.835853797098447
2026-07-17,2026-07-24,WLD,WLDUSDT,0.835853797098447
2026-07-17,2026-07-24,XLM,XLMUSDT,0.835853797098447
2026-07-17,2026-07-24,LDO,LDOUSDT,0.835853797098447
2026-07-17,2026-07-24,BCH,BCHUSDT,0.835853797098447
2026-07-17,2026-07-24,DASH,DASHUSDT,0.835853797098447
2026-07-17,2026-07-24,ALGO,ALGOUSDT,0.835853797098447
2026-07-17,2026-07-24,ADA,ADAUSDT,0.835853797098447
2026-07-17,2026-07-24,CRV,CRVUSDT,0.835853797098447
2026-07-17,2026-07-24,ICP,ICPUSDT,0.835853797098447
2026-07-24,2026-07-31,ZEC,ZECUSDT,0.8123503759024088
2026-07-24,2026-07-31,XLM,XLMUSDT,0.8123503759024088
2026-07-24,2026-07-31,BCH,BCHUSDT,0.8123503759024088
2026-07-24,2026-07-31,ADA,ADAUSDT,0.8123503759024088
2026-07-24,2026-07-31,ICP,ICPUSDT,0.8123503759024088
2026-07-24,2026-07-31,DOGE,DOGEUSDT,0.8123503759024088
2026-07-24,2026-07-31,DOT,DOTUSDT,0.8123503759024088
2026-07-24,2026-07-31,ALGO,ALGOUSDT,0.8123503759024088
2026-07-24,2026-07-31,HYPE,HYPEUSDT,0.8123503759024088
2026-07-24,2026-07-31,LTC,LTCUSDT,0.8123503759024088
