entry_friday,exit_friday,asset,futures_symbol
2026-05-15,2026-05-22,SIREN,SIRENUSDT
2026-05-15,2026-05-22,LUNC,1000LUNCUSDT
2026-05-15,2026-05-22,WLD,WLDUSDT
2026-05-15,2026-05-22,SKYAI,SKYAIUSDT
2026-05-15,2026-05-22,RAVE,RAVEUSDT
2026-05-15,2026-05-22,LIT,LITUSDT
2026-05-15,2026-05-22,XPL,XPLUSDT
2026-05-15,2026-05-22,XCN,XCNUSDT
2026-05-15,2026-05-22,KITE,KITEUSDT
2026-05-15,2026-05-22,JTO,JTOUSDT
2026-05-22,2026-05-29,SIREN,SIRENUSDT
2026-05-22,2026-05-29,LUNC,1000LUNCUSDT
2026-05-22,2026-05-29,LIT,LITUSDT
2026-05-22,2026-05-29,JTO,JTOUSDT
2026-05-22,2026-05-29,ZRO,ZROUSDT
2026-05-22,2026-05-29,VVV,VVVUSDT
2026-05-22,2026-05-29,STRK,STRKUSDT
2026-05-22,2026-05-29,DASH,DASHUSDT
2026-05-22,2026-05-29,KITE,KITEUSDT
2026-05-22,2026-05-29,XPL,XPLUSDT
2026-05-29,2026-06-05,SIREN,SIRENUSDT
2026-05-29,2026-06-05,LIT,LITUSDT
2026-05-29,2026-06-05,JUP,JUPUSDT
2026-05-29,2026-06-05,XPL,XPLUSDT
2026-05-29,2026-06-05,STRK,STRKUSDT
2026-05-29,2026-06-05,JTO,JTOUSDT
2026-05-29,2026-06-05,DASH,DASHUSDT
2026-05-29,2026-06-05,2Z,2ZUSDT
2026-05-29,2026-06-05,WLFI,WLFIUSDT
2026-05-29,2026-06-05,PENDLE,PENDLEUSDT
2026-06-05,2026-06-12,STG,STGUSDT
2026-06-05,2026-06-12,BEAT,BEATUSDT
2026-06-05,2026-06-12,SIREN,SIRENUSDT
2026-06-05,2026-06-12,STRK,STRKUSDT
2026-06-05,2026-06-12,WLD,WLDUSDT
2026-06-05,2026-06-12,PIEVERSE,PIEVERSEUSDT
2026-06-05,2026-06-12,PENDLE,PENDLEUSDT
2026-06-05,2026-06-12,JUP,JUPUSDT
2026-06-05,2026-06-12,WLFI,WLFIUSDT
2026-06-05,2026-06-12,LIT,LITUSDT
2026-06-12,2026-06-19,STG,STGUSDT
2026-06-12,2026-06-19,SKYAI,SKYAIUSDT
2026-06-12,2026-06-19,SIREN,SIRENUSDT
2026-06-12,2026-06-19,BEAT,BEATUSDT
2026-06-12,2026-06-19,PIEVERSE,PIEVERSEUSDT
2026-06-12,2026-06-19,ZEC,ZECUSDT
2026-06-12,2026-06-19,LUNC,1000LUNCUSDT
2026-06-12,2026-06-19,PYTH,PYTHUSDT
2026-06-12,2026-06-19,ENA,ENAUSDT
2026-06-12,2026-06-19,WLD,WLDUSDT
2026-06-19,2026-06-26,SKYAI,SKYAIUSDT
2026-06-19,2026-06-26,SIREN,SIRENUSDT
2026-06-19,2026-06-26,STG,STGUSDT
2026-06-19,2026-06-26,BEAT,BEATUSDT
2026-06-19,2026-06-26,PIEVERSE,PIEVERSEUSDT
2026-06-19,2026-06-26,JTO,JTOUSDT
2026-06-19,2026-06-26,ZRO,ZROUSDT
2026-06-19,2026-06-26,ZEC,ZECUSDT
2026-06-19,2026-06-26,WLD,WLDUSDT
2026-06-19,2026-06-26,HYPE,HYPEUSDT
2026-06-26,2026-07-03,STG,STGUSDT
2026-06-26,2026-07-03,SIREN,SIRENUSDT
2026-06-26,2026-07-03,SKYAI,SKYAIUSDT
2026-06-26,2026-07-03,BEAT,BEATUSDT
2026-06-26,2026-07-03,EDGE,EDGEUSDT
2026-06-26,2026-07-03,PIEVERSE,PIEVERSEUSDT
2026-06-26,2026-07-03,VVV,VVVUSDT
2026-06-26,2026-07-03,SPX,SPXUSDT
2026-06-26,2026-07-03,FF,FFUSDT
2026-06-26,2026-07-03,JTO,JTOUSDT
2026-07-03,2026-07-10,BEAT,BEATUSDT
2026-07-03,2026-07-10,PUMP,PUMPUSDT
2026-07-03,2026-07-10,XPL,XPLUSDT
2026-07-03,2026-07-10,VELVET,VELVETUSDT
2026-07-03,2026-07-10,2Z,2ZUSDT
2026-07-03,2026-07-10,PYTH,PYTHUSDT
2026-07-03,2026-07-10,EIGEN,EIGENUSDT
2026-07-03,2026-07-10,VVV,VVVUSDT
2026-07-03,2026-07-10,ZRO,ZROUSDT
2026-07-03,2026-07-10,TRUMP,TRUMPUSDT
2026-07-10,2026-07-17,XPL,XPLUSDT
2026-07-10,2026-07-17,ETHFI,ETHFIUSDT
2026-07-10,2026-07-17,BEAT,BEATUSDT
2026-07-10,2026-07-17,VELVET,VELVETUSDT
2026-07-10,2026-07-17,2Z,2ZUSDT
2026-07-10,2026-07-17,FF,FFUSDT
2026-07-10,2026-07-17,SEI,SEIUSDT
2026-07-10,2026-07-17,LDO,LDOUSDT
2026-07-10,2026-07-17,PYTH,PYTHUSDT
2026-07-10,2026-07-17,VVV,VVVUSDT
2026-07-17,2026-07-24,BEAT,BEATUSDT
2026-07-17,2026-07-24,XPL,XPLUSDT
2026-07-17,2026-07-24,VELVET,VELVETUSDT
2026-07-17,2026-07-24,PUMP,PUMPUSDT
2026-07-17,2026-07-24,FF,FFUSDT
2026-07-17,2026-07-24,2Z,2ZUSDT
2026-07-17,2026-07-24,SEI,SEIUSDT
2026-07-17,2026-07-24,VVV,VVVUSDT
2026-07-17,2026-07-24,OP,OPUSDT
2026-07-17,2026-07-24,PIEVERSE,PIEVERSEUSDT
2026-07-24,2026-07-31,VELVET,VELVETUSDT
2026-07-24,2026-07-31,XPL,XPLUSDT
2026-07-24,2026-07-31,BEAT,BEATUSDT
2026-07-24,2026-07-31,PIEVERSE,PIEVERSEUSDT
2026-07-24,2026-07-31,SEI,SEIUSDT
2026-07-24,2026-07-31,FF,FFUSDT
2026-07-24,2026-07-31,AERO,AEROUSDT
2026-07-24,2026-07-31,KITE,KITEUSDT
2026-07-24,2026-07-31,PYTH,PYTHUSDT
2026-07-24,2026-07-31,SYRUP,SYRUPUSDT
